#F f1f2_EPDL97.dat
#C  This file has been created using f1f2_EPDL97.pro 
#D  Fri Sep 11 10:19:50 1998
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#UIDL xf1f2
#UT Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD Elastic Photon-Atom Scattering, anomalous scattering factors.
#UD 
#UD The anomalous scattering factors stored in this file come from the 
#UD Evaluated Photon Data Library (EPDL) from the Lawrence Livermore 
#UD National Laboratory: 
#UD    "EPDL97 The Evaluated Data Library, 97 Version"
#UD     Dermott E Cullen, John H Hubbel, Lynn Kissel
#UD        UCRL-50400, Vol 6, Rev 5 (Sep 19 1997)
#UD 
#UD Availability:
#UD In USA: contact the Radiation Safety Information Computational 
#UD         Center (RSICC):
#UD         http://epicws.cped.ornl.gov/rsic.html
#UD In Europe Korea and Japan: contact the Nuclear Energy Agence:
#UD         http://www.nea.fr
#UD The data in this file are valid in the energy range 1.0 eV to 1.0 MeV 
#UD for the elements Z = 1 - 100.
#UD Column description: 1:PhotonEnergy[eV]  2:f1  3:f2
#UD 
#S  1 H 
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
     331719.9     0.9999734  1.540350E-10 
     361733.5     0.9999734  1.294710E-10 
     391291.1     0.9999734  1.118230E-10 
     401559.6     0.9999734  1.056920E-10 
     440301.3     0.9999734  8.902300E-11 
     495450.2     0.9999734  7.219600E-11 
     556304.4     0.9999734  5.957520E-11 
     630957.3     0.9999734  4.904530E-11 
     719241.9     0.9999734  4.084790E-11 
     828180.5     0.9999734  3.418680E-11 
     954992.6     0.9999734  2.932000E-11 
     1173413.     0.9999734  2.420710E-11 
     1228714.     0.9999734  2.330950E-11 
     1410753.     0.9999734  2.035480E-11 
     1696098.     0.9999734  1.711550E-11 
     2039158.     0.9999734  1.439170E-11 
     2451607.     0.9999734  1.210140E-11 
     2947480.     0.9999734  1.017550E-11 
     3543651.     0.9999734  8.556180E-12 
     3710658.     0.9999734  8.238910E-12 
     4260405.     0.9999734  7.194530E-12 
     5122134.     0.9999734  6.049580E-12 
     6158159.     0.9999734  5.086840E-12 
     7403736.     0.9999734  4.277310E-12 
     8901248.     0.9999734  3.596610E-12 
     9760024.     0.9999734  3.298030E-12 
 1.000000E+07     0.9999734  6.265660E-12 
#S  2 He
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
     1.000000  7.498264E-05      0.000000 
     3.055054  0.0007979870      0.000000 
     9.190366    0.02081096      0.000000 
     13.35925     0.1134770      0.000000 
     15.29307     0.2591090      0.000000 
     16.40107     0.4395580      0.000000 
     17.12890     0.6495340      0.000000 
     17.56187     0.8420449      0.000000 
     17.93713      1.080528      0.000000 
     18.18853      1.299699      0.000000 
     18.30811      1.428234      0.000000 
     18.40577      1.548343      0.000000 
     18.47902      1.649070      0.000000 
     18.53395      1.731602      0.000000 
     18.61635      1.868361      0.000000 
     18.69875      2.023422      0.000000 
     18.74478      2.119488  2.233550E-14 
     18.79080      2.223253  4.419580E-14 
     18.83683      2.335813  8.072720E-14 
     18.88285      2.458343  1.361170E-13 
     18.92888      2.592134  2.118650E-13 
     18.97490      2.739030  3.044110E-13 
     19.02093      2.909764  4.037520E-13 
     19.06695      3.080465  4.943370E-13 
     19.11298      3.293175  5.587090E-13 
     19.15900      3.505843  5.829110E-13 
     19.20502      3.769741  5.614000E-13 
     19.22804      3.901758  5.302476E-13 
     19.25105      4.064922  4.991100E-13 
     19.29707      4.391238  4.064032E-13 
     19.32009      4.600077  3.600260E-13 
     19.36611      5.017555  2.646842E-13 
     19.38912      5.299238  2.170170E-13 
     19.43515      5.862783  1.400980E-13 
     19.48117      6.640069  8.348860E-14 
     19.51269      7.377699  5.777049E-14 
     19.52502      7.796950  4.771120E-14 
     19.52511      7.800043  0.0006245118 
     19.54362      8.429476     0.3532572 
     19.61523      10.32624      1.717491 
     19.62123      10.48514      1.830800 
     19.66929      12.00717      3.343792 
     19.67530      12.19750      3.630637 
     19.71735      13.28547      5.637601 
     19.73387      13.71290      6.742147 
     19.77141      14.12436      9.252126 
     19.78193      14.23965      10.12157 
     19.81947      13.87107      13.22438 
     19.85561      12.72412      16.21143 
     19.89438      10.55341      19.22082 
     19.90958      9.370023      20.40063 
     19.91259      9.109888      20.63430 
     19.94497      6.311912      22.32955 
     19.95645      5.121077      22.93057 
